Account Owner,Account Owner ID,Account Name,Phone,Account Site,Fax,Parent Account,Parent Account ID,Account Number,Account Type,Industry,Annual Revenue,Created By,Created by ID,Modified By,Modified by ID,Created Time,Modified Time,Billing Street,Billing City,Billing State,Billing Code,Billing Country,Description,Last Activity Time,Layout,Layout ID,Tag,Water System No,Website URL,Principal Country Served
,,BELFIELD CITY OF,701-575-4235,,,,,,,,,,,,,,,PO BOX 5,BELFIELD,ND,58622,,,,,,,,,
,,BADLANDS DEVELOPMENT LONG X TC,,,,,,,,,,,,,,,,,WATFORD CITY,ND,58854,,,,,,,,,
,,BARNEY CITY OF,701-439-2768,,,,,,,,,,,,,,,,BARNEY,ND,58008,,,,,,,,,
,,BEACH CITY OF,701-872-4103,,,,,,,,,,,,,,,PO BOX 278,BEACH,ND,58621,,,,,,,,,
,,BENEDICT CITY OF,,,,,,,,,,,,,,,,PO Box 157,BENEDICT,ND,58716,,,,,,,,,
,,BEULAH CITY OF,,,,,,,,,,,,,,,,PO BOX 910,BEULAH,ND,58523,,,,,,,,,
,,BERLIN CITY OF,701-883-5797,,,,,,,,,,,,,,,,BERLIN,ND,58415,,,,,,,,,
,,BERTHOLD CITY OF,701-453-3641,,,,,,,,,,,,,,,PO BOX 126,BERTHOLD,ND,58718-0126,,,,,,,,,
,,BOTTINEAU CITY OF,701-228-3232,,,,,,,,,,,,,,,,BOTTINEAU,ND,58318,,,,,,,,,
,,BINFORD CITY OF,701-676-2507,,,,,,,,,,,,,,,PO BOX 1,BINFORD,ND,58416,,,,,,,,,
,,BISMARCK CITY OF,701-355-1700,,,,,,,,,,,,,,,PO BOX 5503,BISMARCK,ND,58506,,,,,,,,,
,,BOWBELLS CITY OF,701-377-2608,,,,,,,,,,,,,,,PO BOX 100,BOWBELLS,ND,58721-0100,,,,,,,,,
,,BOWMAN CITY OF,701-523-3309,,,,,,,,,,,,,,,PO BOX 12,BOWMAN,ND,58623,,,,,,,,,
,,ARTHUR CITY OF,701-967-8327,,,,,,,,,,,,,,,PO BOX 161,ARTHUR,ND,58006,,,,,,,,,
,,BROOKTREE WELLS INC,,,,,,,,,,,,,,,,,HARWOOD,ND,58042,,,,,,,,,
,,BUFFALO CITY OF,701-633-2356,,,,,,,,,,,,,,,PO BOX 126,BUFFALO,ND,58011,,,,,,,,,
,,BURLINGTON CITY OF,701-852-5233,,,,,,,,,,,,,,,PO BOX 159,BURLINGTON,ND,58722,,,,,,,,,
,,CARRINGTON CITY OF,701-652-2911,,,,,,,,,,,,,,,PO BOX 501,CARRINGTON,ND,58421,,,,,,,,,
,,CASS RURAL WATER DISTRICT FARGO,701-428-3139,,,,,,,,,,,,,,,PO BOX 98,KINDRED,ND,58051,,,,,,,,,
,,BOWDON CITY OF,701-962-3808,,,,,,,,,,,,,,,PO BOX 309,BOWDON,ND,58418,,,,,,,,,
,,CASS RURAL WATER DISTRICT-PHASE I,701-428-3139,,,,,,,,,,,,,,,PO BOX 98,KINDRED,ND,58051,,,,,,,,,
,,CANDO CITY OF,701-968-3632,,,,,,,,,,,,,,,PO BOX 396,CANDO,ND,58324,,,,,,,,,
,,CASS RURAL WATER DISTRICT-PHASE II,701-428-3139,,,,,,,,,,,,,,,PO BOX 98,KINDRED,ND,58051,,,,,,,,,
,,CASS RURAL WATER DISTRICT-PHASE III,701-428-3139,,,,,,,,,,,,,,,PO BOX 98,KINDRED,ND,58051,,,,,,,,,
,,CARSON CITY OF,701-622-3395,,,,,,,,,,,,,,,,CARSON,ND,58529,,,,,,,,,
,,CASSELTON CITY OF,701-347-4861,,,,,,,,,,,,,,,PO BOX 548,CASSELTON,ND,58012,,,,,,,,,
,,CAVALIER CITY OF,701-265-8800,,,,,,,,,,,,,,,PO BOX 750,CAVALIER,ND,58220-0750,,,,,,,,,
,,CENTER CITY OF,701-794-3650,,,,,,,,,,,,,,,PO BOX 76,CENTER,ND,58530,,,,,,,,,
,,CENTRAL PLAINS WATER DISTRICT,,,,,,,,,,,,,,,,PO BOX 157,FESSENDEN,ND,58438,,,,,,,,,
,,BISBEE CITY OF,701-656-3382,,,,,,,,,,,,,,,PO BOX 188,BISBEE,ND,58317-0188,,,,,,,,,
,,CHRISTINE CITY OF,218-557-8827,,,,,,,,,,,,,,,PO BOX 1241,CHRISTINE,ND,58015,,,,,,,,,
,,COLEHARBOR CITY OF,701-448-2686,,,,,,,,,,,,,,,,WASHBURN,ND,58577,,,,,,,,,
,,COLFAX CITY OF,701-642-3207,,,,,,,,,,,,,,,PO BOX 51,COLFAX,ND,58018,,,,,,,,,
,,COOPERSTOWN CITY OF,701-797-3613,,,,,,,,,,,,,,,PO BOX 712,COOPERSTOWN,ND,58425,,,,,,,,,
,,CATHAY CITY OF,701-399-9527,,,,,,,,,,,,,,,,CATHAY,ND,58422,,,,,,,,,
,,COLUMBUS CITY OF,701-939-5000,,,,,,,,,,,,,,,PO BOX 27,COLUMBUS,ND,58727,,,,,,,,,
,,COUNTRY CLUB CO-OP,701-663-1736,,,,,,,,,,,,,,,PO BOX 2432,BISMARCK,ND,58501,,,,,,,,,
,,CLEVELAND CITY OF,701-763-6128,,,,,,,,,,,,,,,,CLEVELAND,ND,58424,,,,,,,,,
,,CROSBY CITY OF,701-965-6029,,,,,,,,,,,,,,,PO BOX 67,CROSBY,ND,58730,,,,,,,,,
,,CROWN BUTTE COOP,701-400-3114,,,,,,,,,,,,,,,,MANDAN,ND,58554,,,,,,,,,
,,DAKOTA ADVENTIST ACADEMY,,,,,,,,,,,,,,,,,BISMARCK,ND,58503,,,,,,,,,
,,DAKOTA RURAL WATER DISTRICT NORTH,701-524-2393,,,,,,,,,,,,,,,PO BOX 476,FINLEY,ND,58230,,,,,,,,,
,,DAKOTA RURAL WATER DISTRICT SOUTH,701-524-2393,,,,,,,,,,,,,,,PO BOX 476,FINLEY,ND,58230,,,,,,,,,
,,DAZEY CITY OF,701-733-2268,,,,,,,,,,,,,,,,DAZEY,ND,58429,,,,,,,,,
,,DEVILS LAKE CITY OF,701-662-7600,,,,,,,,,,,,,,,PO BOX 1048,DEVILS LAKE,ND,58301,,,,,,,,,
,,DAVENPORT CITY OF,701-428-0134,,,,,,,,,,,,,,,PO BOX 217,DAVENPORT,ND,58021,,,,,,,,,
,,CRARY CITY OF,701-351-1326,,,,,,,,,,,,,,,PO BOX 174,DEVILS LAKE,ND,58301,,,,,,,,,
,,COUNTRY ACRES WATER CO,701-293-5851,,,,,,,,,,,,,,,,HORACE,ND,58047,,,,,,,,,
,,DICKINSON CITY OF,701-456-7003,,,,,,,,,,,,,,,,DICKINSON,ND,58601,,,,,,,,,
,,DODGE CITY OF,701-846-7330,,,,,,,,,,,,,,,PO BOX 96,DODGE,ND,58625,,,,,,,,,
,,DRAKE CITY OF,701-465-3794,,,,,,,,,,,,,,,PO BOX 243,DRAKE,ND,58736,,,,,,,,,
,,DUNN CENTER CITY OF,701-548-8130,,,,,,,,,,,,,,,,DUNN CENTER,ND,58626,,,,,,,,,
,,EAST CENTRAL REGIONAL WD-GF,701-599-2963,,,,,,,,,,,,,,,,THOMPSON,ND,58278,,,,,,,,,
,,EDMORE CITY OF,,,,,,,,,,,,,,,,PO BOX 67,EDMORE,ND,58330,,,,,,,,,
,,DUNSEITH CITY OF,701-244-5596,,,,,,,,,,,,,,,PO BOX 580,DUNSEITH,ND,58329-0580,,,,,,,,,
,,ELGIN CITY OF,701-584-3001,,,,,,,,,,,,,,,PO BOX 426,ELGIN,ND,58533,,,,,,,,,
,,EMERADO CITY OF,701-594-4542,,,,,,,,,,,,,,,PO BOX 130,EMERADO,ND,58228,,,,,,,,,
,,ENDERLIN CITY OF,701-437-3476,,,,,,,,,,,,,,,PO BOX 65,ENDERLIN,ND,58027-0065,,,,,,,,,
,,EAST CENTRAL REGIONAL WD-TRAILL,701-599-2963,,,,,,,,,,,,,,,,THOMPSON,ND,58278,,,,,,,,,
,,FAIRMOUNT CITY OF,701-474-5755,,,,,,,,,,,,,,,PO BOX 132,FAIRMOUNT,ND,58030-0132,,,,,,,,,
,,DRAYTON CITY OF,701-454-6370,,,,,,,,,,,,,,,PO BOX 280,DRAYTON,ND,58225,,,,,,,,,
,,FARGO CITY OF,701-241-1469,,,,,,,,,,,,,,,,FARGO,ND,58103,,,,,,,,,
,,FENDEE ESTATES,702-742-4166,,,,,,,,,,,,,,,PO BOX 50669,HENDERSON,NV,89016,,,,,,,,,
,,ELLENDALE CITY OF,701-349-3252,,,,,,,,,,,,,,,PO BOX 267,ELLENDALE,ND,58436,,,,,,,,,
,,EDGELEY CITY OF,701-493-2208,,,,,,,,,,,,,,,PO BOX 205,EDGELEY,ND,58433-0205,,,,,,,,,
,,FINLEY CITY OF,701-524-1561,,,,,,,,,,,,,,,PO BOX 321,FINLEY,ND,58230-0321,,,,,,,,,
,,FESSENDEN CITY OF,701-547-3111,,,,,,,,,,,,,,,PO BOX 42,FESSENDEN,ND,58438,,,,,,,,,
,,FLAXTON CITY OF,701-596-3511,,,,,,,,,,,,,,,,FLAXTON,ND,58737,,,,,,,,,
,,FOREST RIVER COLONY,701-865-4112,,,,,,,,,,,,,,,,FORDVILLE,ND,58231-9525,,,,,,,,,
,,FAIRVIEW COLONY,701-883-4457,,,,,,,,,,,,,,,,LAMOURE,ND,58458,,,,,,,,,
,,FORMAN CITY OF,701-724-3673,,,,,,,,,,,,,,,PO BOX 122,FORMAN,ND,58032-0122,,,,,,,,,
,,FORBES CITY OF,605-358-8671,,,,,,,,,,,,,,,,FORBES,ND,58439,,,,,,,,,
,,FORTUNA CITY OF,701-834-2365,,,,,,,,,,,,,,,PO BOX 116,FORTUNA,ND,58844,,,,,,,,,
,,FLASHER CITY OF,701-597-3127,,,,,,,,,,,,,,,PO BOX 227,FLASHER,ND,58535,,,,,,,,,
,,FULLERTON CITY OF,701-710-0879,,,,,,,,,,,,,,,,OAKES,ND,58474,,,,,,,,,
,,GACKLE CITY OF,701-320-3368,,,,,,,,,,,,,,,,GACKLE,ND,58442,,,,,,,,,
,,GALESBURG CITY OF,701-488-2780,,,,,,,,,,,,,,,PO BOX 141,GALESBURG,ND,58035-0141,,,,,,,,,
,,GLEN ULLIN CITY OF,701-348-3683,,,,,,,,,,,,,,,PO BOX 70,GLEN ULLIN,ND,58631,,,,,,,,,
,,FRADETS ORCHARD WATER SYSTEM,,,,,,,,,,,,,,,,,HORACE,ND,58047,,,,,,,,,
,,GARRISON CITY OF,701-463-2600,,,,,,,,,,,,,,,PO BOX 459,GARRISON,ND,58540-0459,,,,,,,,,
,,GARDNER CITY OF,,,,,,,,,,,,,,,,,GARDNER,ND,58036,,,,,,,,,
,,GARRISON RURAL WATER DISTRICT,701-337-5682,,,,,,,,,,,,,,,PO BOX 820,GARRISON,ND,58540,,,,,,,,,
,,GLADSTONE CITY OF,701-590-3374,,,,,,,,,,,,,,,PO BOX 218,GLADSTONE,ND,58630,,,,,,,,,
,,GLENFIELD CITY OF,701-785-2685,,,,,,,,,,,,,,,PO BOX 205,GLENFIELD,ND,58443,,,,,,,,,
,,GOODRICH CITY OF,701-884-2480,,,,,,,,,,,,,,,PO BOX 1,GOODRICH,ND,58444,,,,,,,,,
,,GOLDEN VALLEY CITY OF,701-983-4488,,,,,,,,,,,,,,,PO BOX 98,GOLDEN VALLEY,ND,58541,,,,,,,,,
,,GRAFTON CITY OF,701-352-1561,,,,,,,,,,,,,,,PO BOX 578,GRAFTON,ND,58237,,,,,,,,,
,,GOLVA CITY OF,701-872-2152,,,,,,,,,,,,,,,PO BOX 147,GOLVA,ND,58632,,,,,,,,,
,,GREATER RAMSEY WATER DISTRICT,701-662-5781,,,,,,,,,,,,,,,PO BOX 1257,DEVILS LAKE,ND,58301,,,,,,,,,
,,GRANDIN CITY OF,,,,,,,,,,,,,,,,PO BOX 234,GRANDIN,ND,58038,,,,,,,,,
,,GRANT COLONY,701-864-2612,,,,,,,,,,,,,,,,ENDERLIN,ND,58027,,,,,,,,,
,,GLENBURN CITY OF,701-362-7544,,,,,,,,,,,,,,,PO BOX 97,GLENBURN,ND,58740-0097,,,,,,,,,
,,GRANVILLE CITY OF,701-728-6369,,,,,,,,,,,,,,,PO BOX 39,GRANVILLE,ND,58741,,,,,,,,,
,,GWINNER CITY OF,701-678-2409,,,,,,,,,,,,,,,PO BOX 425,GWINNER,ND,58040,,,,,,,,,
,,GREATER RAMSEY WD - CARRINGTON,701-662-5781,,,,,,,,,,,,,,,PO BOX 1257,DEVILS LAKE,ND,58301,,,,,,,,,
,,HARVEY CITY OF,701-324-2851,,,,,,,,,,,,,,,,HARVEY,ND,58341,,,,,,,,,
,,HAGUE CITY OF,701-258-8710,,,,,,,,,,,,,,,PO BOX 4182,BISMARCK,ND,58502-4182,,,,,,,,,
,,HANKINSON CITY OF,701-242-7885,,,,,,,,,,,,,,,PO BOX 478,HANKINSON,ND,58041,,,,,,,,,
,,HANNAFORD CITY OF,701-769-2435,,,,,,,,,,,,,,,PO BOX 37,HANNAFORD,ND,58448,,,,,,,,,
,,GRENORA CITY OF,701-694-3391,,,,,,,,,,,,,,,PO BOX 296,GRENORA,ND,58845,,,,,,,,,
,,HATTON CITY OF,701-543-3243,,,,,,,,,,,,,,,PO BOX 270,HATTON,ND,58240,,,,,,,,,
,,HILLSBORO CITY OF,,,,,,,,,,,,,,,,PO BOX 400,HILLSBORO,ND,58045,,,,,,,,,
,,HAZELTON CITY OF,701-782-6878,,,,,,,,,,,,,,,PO BOX 266,HAZELTON,ND,58544,,,,,,,,,
,,HEBRON CITY OF,701-878-4600,,,,,,,,,,,,,,,PO BOX V,HEBRON,ND,58638,,,,,,,,,
,,HAZEN CITY OF,701-748-2550,,,,,,,,,,,,,,,PO BOX 717,HAZEN,ND,58545,,,,,,,,,
,,GRAND FORKS CITY OF,701-746-2595,,,,,,,,,,,,,,,,GRAND FORKS,ND,58201,,,,,,,,,
,,HETTINGER CITY OF,701-567-3802,,,,,,,,,,,,,,,PO BOX 589,HETTINGER,ND,58639,,,,,,,,,
,,HARWOOD CITY OF,701-281-0314,,,,,,,,,,,,,,,PO BOX 65,HARWOOD,ND,58042,,,,,,,,,
,,HALLIDAY CITY OF,701-938-4680,,,,,,,,,,,,,,,PO BOX 438,HALLIDAY,ND,58636,,,,,,,,,
,,HOPE CITY OF,701-945-2772,,,,,,,,,,,,,,,PO BOX 189,HOPE,ND,58046,,,,,,,,,
,,HORACE CITY OF,701-282-9727,,,,,,,,,,,,,,,PO BOX 99,HORACE,ND,58047,,,,,,,,,
,,HORSESHOE BEND,701-356-0499,,,,,,,,,,,,,,,,HORACE,ND,58047,,,,,,,,,
,,HUNTER CITY OF,701-238-0749,,,,,,,,,,,,,,,PO BOX 56,HUNTER,ND,58048,,,,,,,,,
,,JAMESTOWN CITY OF,701-252-5900,,,,,,,,,,,,,,,,JAMESTOWN,ND,58401,,,,,,,,,
,,JUD CITY OF,701-685-2268,,,,,,,,,,,,,,,PO BOX 511,JUD,ND,58454,,,,,,,,,
,,IMPERIAL VALLEY WATER CO,701-258-4040,,,,,,,,,,,,,,,PO BOX 2161,BISMARCK,ND,58502,,,,,,,,,
,,INSPIRE COMMUNITIES-SPRINGBROOK,,,,,,,,,,,,,,,,OFFICE,WILLISTON,ND,58802,,,,,,,,,
,,KENMARE CITY OF,701-385-4232,,,,,,,,,,,,,,,PO BOX 816,KENMARE,ND,58746,,,,,,,,,
,,KILLDEER CITY OF,701-764-5295,,,,,,,,,,,,,,,PO BOX 270,KILLDEER,ND,58640,,,,,,,,,
,,KENSAL CITY OF,701-435-2678,,,,,,,,,,,,,,,PO BOX 188,KENSAL,ND,58455,,,,,,,,,
,,KINDRED CITY OF,701-428-3115,,,,,,,,,,,,,,,PO BOX 158,KINDRED,ND,58051,,,,,,,,,
,,KARLSRUHE CITY OF,,,,,,,,,,,,,,,,,KARLSRUHE,ND,58744,,,,,,,,,
,,KULM CITY OF,701-647-2451,,,,,,,,,,,,,,,PO BOX 332,KULM,ND,58456,,,,,,,,,
,,LAKOTA CITY OF,701-247-2454,,,,,,,,,,,,,,,PO BOX 505,LAKOTA,ND,58344-0505,,,,,,,,,
,,LAMOURE CITY OF,701-883-5957,,,,,,,,,,,,,,,PO BOX 215,LAMOURE,ND,58458,,,,,,,,,
,,LANGDON CITY OF,,,,,,,,,,,,,,,,,LANGDON,ND,58249,,,,,,,,,
,,LANSFORD CITY OF,,,,,,,,,,,,,,,,PO BOX 68,LANSFORD,ND,58750,,,,,,,,,
,,LARIMORE CITY OF,701-343-2181,,,,,,,,,,,,,,,PO BOX 766,LARIMORE,ND,58251,,,,,,,,,
,,LEEDS CITY OF,701-466-2930,,,,,,,,,,,,,,,PO BOX 331,LEEDS,ND,58346,,,,,,,,,
,,LEHR CITY OF,701-378-2329,,,,,,,,,,,,,,,PO BOX 127,LEHR,ND,58460,,,,,,,,,
,,LINCOLN CITY OF,701-258-7969,,,,,,,,,,,,,,,,LINCOLN,ND,58504,,,,,,,,,
,,LIGNITE CITY OF,701-933-2850,,,,,,,,,,,,,,,PO BOX 232,LIGNITE,ND,58752,,,,,,,,,
,,LIDGERWOOD CITY OF,701-538-4135,,,,,,,,,,,,,,,PO BOX 290,LIDGERWOOD,ND,58053,,,,,,,,,
,,LINTON CITY OF,701-254-4267,,,,,,,,,,,,,,,PO BOX 57,LINTON,ND,58552,,,,,,,,,
,,LITCHVILLE CITY OF,701-845-1117,,,,,,,,,,,,,,,,VALLEY CITY,ND,58072,,,,,,,,,
,,LISBON CITY OF,701-683-4140,,,,,,,,,,,,,,,PO BOX 1079,LISBON,ND,58054,,,,,,,,,
,,M&M PARK,,,,,,,,,,,,,,,,PO BOX 387,FAIRVIEW,MT,59221,,,,,,,,,
,,MADDOCK CITY OF,701-438-2252,,,,,,,,,,,,,,,PO BOX 276,MADDOCK,ND,58348,,,,,,,,,
,,MANTADOR CITY OF,701-242-7909,,,,,,,,,,,,,,,PO BOX 67,MANTADOR,ND,58058,,,,,,,,,
,,MAKOTI CITY OF,701-726-5617,,,,,,,,,,,,,,,PO BOX 113,MAKOTI,ND,58756,,,,,,,,,
,,MANDAN CITY OF,701-663-3210,,,,,,,,,,,,,,,,MANDAN,ND,58554,,,,,,,,,
,,MANNING WATER BOARD,,,,,,,,,,,,,,,,,MANNING,ND,58642,,,,,,,,,
,,MAX CITY OF,701-679-2770,,,,,,,,,,,,,,,PO BOX 116,MAX,ND,58579,,,,,,,,,
,,MAPLETON CITY OF,701-282-6992,,,,,,,,,,,,,,,PO BOX 9,MAPLETON,ND,58059-0009,,,,,,,,,
,,MARMARTH CITY OF,701-279-5888,,,,,,,,,,,,,,,PO BOX 79,MARMARTH,ND,58643,,,,,,,,,
,,MCKENZIE COUNTY WRD - SYSTEM 1 & 4,701-842-2821,,,,,,,,,,,,,,,,WATFORD CITY,ND,58854,,,,,,,,,
,,MAPLE RIVER HUTTERIAN ASSOCIATION,701-375-5023,,,,,,,,,,,,,,,,FULLERTON,ND,58441-9774,,,,,,,,,
,,MAYVILLE CITY OF,701-788-2166,,,,,,,,,,,,,,,PO BOX 220,MAYVILLE,ND,58257,,,,,,,,,
,,MC CLUSKY CITY OF,701-363-2345,,,,,,,,,,,,,,,PO BOX 548,MC CLUSKY,ND,58463,,,,,,,,,
,,MCVILLE CITY OF,701-322-4343,,,,,,,,,,,,,,,PO BOX 275,MCVILLE,ND,58254,,,,,,,,,
,,MAXBASS CITY OF,,,,,,,,,,,,,,,,PO BOX 134,MAXBASS,ND,58760,,,,,,,,,
,,MCLEAN-SHERIDAN WATER DISTRICT-SYSTEM 1,701-448-2686,,,,,,,,,,,,,,,,TURTLE LAKE,ND,58575,,,,,,,,,
,,MEDINA CITY OF,701-486-3162,,,,,,,,,,,,,,,PO BOX 574,MEDINA,ND,58467,,,,,,,,,
,,MICHIGAN CITY OF,701-259-2553,,,,,,,,,,,,,,,PO BOX 226,MICHIGAN,ND,58259,,,,,,,,,
,,MILNOR CITY OF,,,,,,,,,,,,,,,,PO BOX 70,MILNOR,ND,58060,,,,,,,,,
,,MINNEWAUKAN CITY OF,701-473-5735,,,,,,,,,,,,,,,PO BOX 192,MINNEWAUKAN,ND,58351,,,,,,,,,
,,MEDORA CITY OF,701-623-4828,,,,,,,,,,,,,,,PO Box 418A,MEDORA,ND,58645,,,,,,,,,
,,MCLEAN-SHERIDAN WATER DISTRICT-SYSTEM 2,701-448-2686,,,,,,,,,,,,,,,,TURTLE LAKE,ND,58575,,,,,,,,,
,,MINOT CITY OF,701-857-4761,,,,,,,,,,,,,,,PO BOX 5006,MINOT,ND,58702,,,,,,,,,
,,MILTON CITY OF,701-496-3231,,,,,,,,,,,,,,,,MILTON,ND,58260,,,,,,,,,
,,MINTO CITY OF,701-248-3858,,,,,,,,,,,,,,,PO BOX 342,MINTO,ND,58261,,,,,,,,,
,,MISSOURI WEST WATER SYSTEM,701-663-8549,,,,,,,,,,,,,,,PO BOX 176,MANDAN,ND,58554-0176,,,,,,,,,
,,MERCER CITY OF,701-447-2600,,,,,,,,,,,,,,,PO BOX 118,MERCER,ND,58559,,,,,,,,,
,,MONTPELIER CITY OF,701-489-3163,,,,,,,,,,,,,,,PO BOX 3,MONTPELIER,ND,58472,,,,,,,,,
,,MOTT CITY OF,701-824-2163,,,,,,,,,,,,,,,PO BOX 116,MOTT,ND,58646,,,,,,,,,
,,MOHALL CITY OF,701-756-6464,,,,,,,,,,,,,,,PO BOX 476,MOHALL,ND,58761,,,,,,,,,
,,MONANGO CITY OF,701-349-3630,,,,,,,,,,,,,,,,MONANGO,ND,58436,,,,,,,,,
,,MOORETON CITY OF,701-274-8926,,,,,,,,,,,,,,,,MOORETON,ND,58061,,,,,,,,,
,,NECHE CITY OF,701-886-7707,,,,,,,,,,,,,,,PO BOX 12,NECHE,ND,58265,,,,,,,,,
,,NEW ENGLAND CITY OF,701-579-4422,,,,,,,,,,,,,,,PO BOX 130,NEW ENGLAND,ND,58647-0130,,,,,,,,,
,,MOUNTAIN CITY OF,701-993-8370,,,,,,,,,,,,,,,PO BOX 136,MOUNTAIN,ND,58262,,,,,,,,,
,,NAPOLEON CITY OF,701-754-2266,,,,,,,,,,,,,,,PO BOX 31,NAPOLEON,ND,58561,,,,,,,,,
,,NEKOMA CITY OF,701-949-2174,,,,,,,,,,,,,,,PO BOX 107,LANGDON,ND,58249,,,,,,,,,
,,NEW ROCKFORD CITY OF,701-947-2461,,,,,,,,,,,,,,,,NEW ROCKFORD,ND,58356,,,,,,,,,
,,NEW SALEM CITY OF,701-843-7828,,,,,,,,,,,,,,,,NEW SALEM,ND,58563,,,,,,,,,
,,NOME CITY OF,701-924-8618,,,,,,,,,,,,,,,PO BOX 6,NOME,ND,58062-0006,,,,,,,,,
,,NEW LEIPZIG CITY OF,701-584-2006,,,,,,,,,,,,,,,PO BOX 128,NEW LEIPZIG,ND,58562,,,,,,,,,
,,MCKENZIE COUNTY RW-SYSTEM 2,701-842-2821,,,,,,,,,,,,,,,,WATFORD CITY,ND,58854,,,,,,,,,
,,NORTH CENTRAL REGIONAL WATER DISTRICT,701-852-1886,,,,,,,,,,,,,,,,MINOT,ND,58701-5357,,,,,,,,,
,,NORTH PRAIRIE RWD-SYSTEM 1&2,701-852-1886,,,,,,,,,,,,,,,,MINOT,ND,58701-5357,,,,,,,,,
,,NORTH PRAIRIE RWD-SYSTEM III,701-852-1886,,,,,,,,,,,,,,,,MINOT,ND,58701-5357,,,,,,,,,
,,NORTHEAST RWD- NORTH VALLEY BRANCH,701-265-8503,,,,,,,,,,,,,,,,CAVALIER,ND,58220,,,,,,,,,
,,NEW HRADEC WATERWORKS,,,,,,,,,,,,,,,,,NEW HRADEC,ND,58601,,,,,,,,,
,,NORTHWESTERN AREA WATER SUPPLY,701-328-1050,,,,,,,,,,,,,,,,BISMARCK,ND,58505,,,,,,,,,
,,OAKES CITY OF,701-742-2137,,,,,,,,,,,,,,,,OAKES,ND,58474,,,,,,,,,
,,NOONAN CITY OF,701-925-3000,,,,,,,,,,,,,,,BOX 7,NOONAN,ND,58765,,,,,,,,,
,,NORTHEAST RWD-LANGDON BRANCH,701-265-8503,,,,,,,,,,,,,,,,CAVALIER,ND,58220,,,,,,,,,
,,NORTHWEST RURAL WATER DISTRICT,701-774-8915,,,,,,,,,,,,,,,PO BOX 1285,WILLISTON,ND,58802-1285,,,,,,,,,
,,OBERON CITY OF,701-361-1778,,,,,,,,,,,,,,,PO BOX 52,OBERON,ND,58357,,,,,,,,,
,,OMND WATER TREATMENT PLANT,701-225-0241,,,,,,,,,,,,,,,,DICKINSON,ND,58601-7231,,,,,,,,,
,,OSNABROCK CITY OF,701-496-3231,,,,,,,,,,,,,,,,MILTON,ND,58260,,,,,,,,,
,,ORISKA CITY OF,701-490-0390,,,,,,,,,,,,,,,PO BOX 306,ORISKA,ND,58063,,,,,,,,,
,,PEKIN CITY OF,701-296-4401,,,,,,,,,,,,,,,PO BOX 67,PEKIN,ND,58361,,,,,,,,,
,,OXBOW CITY OF,701-238-2123,,,,,,,,,,,,,,,,LEONARD,ND,58052,,,,,,,,,
